Sample 177: No. iterations = 512, Error = 0.00197969
Sample 178: No. iterations = 512, Error = 0.003184
Sample 179: No. iterations = 512, Error = 0.003675
Sample 180: No. iterations = 512, Error = 0.00205083
Sample 181: No. iterations = 512, Error = 0.00426481
Sample 182: No. iterations = 512, Error = 0.00272611
Sample 183: No. iterations = 512, Error = 0.500412
Sample 184: No. iterations = 512, Error = 0.0012139
Sample 185: No. iterations = 512, Error = 0.00242598
Sample 186: No. iterations = 512, Error = 0.00216385
Sample 187: No. iterations = 512, Error = 0.00160405
Sample 188: No. iterations = 512, Error = 0.00260289
Sample 189: No. iterations = 512, Error = 0.00291278
Sample 190: No. iterations = 512, Error = 0.00223263
Sample 191: No. iterations = 512, Error = 0.00232059
Sample 192: No. iterations = 512, Error = 0.00355855
Sample 193: No. iterations = 512, Error = 0.00199899
Sample 194: No. iterations = 512, Error = 0.00248436
Sample 195: No. iterations = 512, Error = 0.00308493
Sample 196: No. iterations = 512, Error = 0.00306468
Sample 197: No. iterations = 512, Error = 0.00271547
Sample 198: No. iterations = 512, Error = 0.00422779
Sample 199: No. iterations = 512, Error = 0.00217757
Sample 200: No. iterations = 512, Error = 0.00337865
Sample 201: No. iterations = 512, Error = 0.00323863
Sample 202: No. iterations = 512, Error = 0.00349683
Sample 203: No. iterations = 512, Error = 0.00295146
Sample 204: No. iterations = 512, Error = 0.00202429
Sample 205: No. iterations = 512, Error = 0.00268991
Sample 206: No. iterations = 512, Error = 0.00292848
Sample 207: No. iterations = 512, Error = 0.00168764
Sample 208: No. iterations = 512, Error = 0.00167063
Sample 209: No. iterations = 1, Error = 0.000861364
Sample 210: No. iterations = 512, Error = 0.00197395
Sample 211: No. iterations = 512, Error = 0.00255735
Sample 212: No. iterations = 1, Error = 0.000226871
Sample 213: No. iterations = 512, Error = 0.00268668
Sample 214: No. iterations = 512, Error = 0.00303887
Sample 215: No. iterations = 512, Error = 0.00187942
Sample 216: No. iterations = 512, Error = 0.0022717
Sample 217: No. iterations = 512, Error = 0.00210674
Sample 218: No. iterations = 512, Error = 0.00284106
Sample 219: No. iterations = 512, Error = 0.00211326
Sample 220: No. iterations = 512, Error = 0.501471
Sample 221: No. iterations = 512, Error = 0.00241485
Sample 222: No. iterations = 512, Error = 0.00177384
Sample 223: No. iterations = 512, Error = 0.00195371
Sample 224: No. iterations = 512, Error = 0.00199842
Sample 225: No. iterations = 512, Error = 0.00507339
Sample 226: No. iterations = 512, Error = 0.00285968
Sample 227: No. iterations = 512, Error = 0.00317453
Sample 228: No. iterations = 512, Error = 0.003125
Sample 229: No. iterations = 512, Error = 0.00308097
Sample 230: No. iterations = 512, Error = 0.00219383
Sample 231: No. iterations = 512, Error = 0.00308602
Sample 232: No. iterations = 256, Error = 0.000999069
Sample 233: No. iterations = 512, Error = 0.00369453
Sample 234: No. iterations = 512, Error = 0.00271939
Sample 235: No. iterations = 230, Error = 0.000999683
Sample 236: No. iterations = 512, Error = 0.003077
Sample 237: No. iterations = 512, Error = 0.00638646
Sample 238: No. iterations = 512, Error = 0.0027269
